id,class
validation.00596.au,reggae
validation.02436.au,disco
validation.02930.au,classical
validation.03364.au,blues
validation.03550.au,country
validation.04625.au,blues
validation.07561.au,blues
validation.07642.au,jazz
validation.09065.au,classical
validation.09885.au,metal
validation.12150.au,country
validation.13350.au,classical
validation.16676.au,blues
validation.17817.au,disco
validation.18392.au,rock
validation.18794.au,blues
validation.18828.au,blues
validation.19082.au,country
validation.21589.au,metal
validation.23193.au,hiphop
validation.23211.au,blues
validation.23301.au,disco
validation.24620.au,pop
validation.25407.au,pop
validation.26050.au,pop
validation.26581.au,metal
validation.28540.au,jazz
validation.28558.au,rock
validation.29001.au,metal
validation.29659.au,metal
validation.30482.au,metal
validation.30768.au,country
validation.32510.au,rock
validation.32787.au,jazz
validation.33033.au,hiphop
validation.33529.au,metal
validation.34800.au,country
validation.34835.au,classical
validation.34938.au,jazz
validation.36126.au,classical
validation.39797.au,metal
validation.41870.au,metal
validation.43948.au,blues
validation.44485.au,jazz
validation.47303.au,disco
validation.49246.au,metal
validation.51339.au,disco
validation.51932.au,classical
validation.52165.au,jazz
validation.52376.au,rock
validation.53339.au,pop
validation.54199.au,metal
validation.56037.au,jazz
validation.60352.au,classical
validation.62461.au,pop
validation.62917.au,pop
validation.64717.au,disco
validation.65355.au,metal
validation.66836.au,disco
validation.67898.au,pop
validation.68246.au,metal
validation.68504.au,pop
validation.68600.au,reggae
validation.69645.au,disco
validation.70325.au,pop
validation.70514.au,disco
validation.70521.au,pop
validation.70709.au,country
validation.71178.au,rock
validation.71558.au,hiphop
validation.72738.au,pop
validation.72918.au,metal
validation.73325.au,jazz
validation.73749.au,classical
validation.76427.au,jazz
validation.76541.au,hiphop
validation.77219.au,hiphop
validation.79401.au,reggae
validation.80325.au,rock
validation.80446.au,country
validation.80480.au,disco
validation.81197.au,classical
validation.84038.au,jazz
validation.86647.au,disco
validation.87593.au,metal
validation.87812.au,metal
validation.88839.au,pop
validation.89176.au,country
validation.89749.au,country
validation.91278.au,blues
validation.91579.au,reggae
validation.93577.au,hiphop
validation.94066.au,reggae
validation.94863.au,blues
validation.95021.au,jazz
validation.95763.au,metal
validation.96483.au,country
validation.97080.au,classical
validation.97638.au,classical
validation.97760.au,reggae
