id,class
validation.00596.au,blues
validation.02436.au,country
validation.02930.au,classical
validation.03364.au,jazz
validation.03550.au,country
validation.04625.au,jazz
validation.07561.au,blues
validation.07642.au,jazz
validation.09065.au,classical
validation.09885.au,metal
validation.12150.au,country
validation.13350.au,reggae
validation.16676.au,country
validation.17817.au,disco
validation.18392.au,reggae
validation.18794.au,country
validation.18828.au,blues
validation.19082.au,country
validation.21589.au,metal
validation.23193.au,blues
validation.23211.au,blues
validation.23301.au,jazz
validation.24620.au,pop
validation.25407.au,pop
validation.26050.au,hiphop
validation.26581.au,metal
validation.28540.au,jazz
validation.28558.au,rock
validation.29001.au,hiphop
validation.29659.au,metal
validation.30482.au,metal
validation.30768.au,country
validation.32510.au,country
validation.32787.au,reggae
validation.33033.au,reggae
validation.33529.au,metal
validation.34800.au,country
validation.34835.au,rock
validation.34938.au,classical
validation.36126.au,classical
validation.39797.au,metal
validation.41870.au,metal
validation.43948.au,jazz
validation.44485.au,jazz
validation.47303.au,reggae
validation.49246.au,metal
validation.51339.au,hiphop
validation.51932.au,jazz
validation.52165.au,reggae
validation.52376.au,metal
validation.53339.au,pop
validation.54199.au,metal
validation.56037.au,blues
validation.60352.au,classical
validation.62461.au,pop
validation.62917.au,pop
validation.64717.au,disco
validation.65355.au,metal
validation.66836.au,disco
validation.67898.au,pop
validation.68246.au,blues
validation.68504.au,pop
validation.68600.au,jazz
validation.69645.au,hiphop
validation.70325.au,pop
validation.70514.au,metal
validation.70521.au,hiphop
validation.70709.au,country
validation.71178.au,country
validation.71558.au,rock
validation.72738.au,pop
validation.72918.au,metal
validation.73325.au,jazz
validation.73749.au,country
validation.76427.au,country
validation.76541.au,blues
validation.77219.au,hiphop
validation.79401.au,country
validation.80325.au,country
validation.80446.au,hiphop
validation.80480.au,jazz
validation.81197.au,jazz
validation.84038.au,classical
validation.86647.au,country
validation.87593.au,metal
validation.87812.au,metal
validation.88839.au,pop
validation.89176.au,blues
validation.89749.au,country
validation.91278.au,jazz
validation.91579.au,classical
validation.93577.au,hiphop
validation.94066.au,hiphop
validation.94863.au,country
validation.95021.au,jazz
validation.95763.au,metal
validation.96483.au,pop
validation.97080.au,classical
validation.97638.au,classical
validation.97760.au,rock
