@relation normalize2

@attribute 'feature1' numeric
@attribute 'feature2' numeric
@attribute 'feature3' numeric
@attribute 'feature4' numeric
@attribute 'feature5' numeric
@attribute 'feature6' numeric
@attribute 'feature7' numeric
@attribute 'feature8' numeric
@attribute 'feature9' numeric
@attribute 'feature10' numeric
@attribute 'feature11' numeric
@attribute 'feature12' numeric
@attribute 'feature13' numeric
@attribute 'class' {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@data
0.108736671507,0.281615078449,-0.110063299537,0.0175174642354,1.32632863522,1.30656659603,-3.48000836372,2.99970412254,-3.57845950127,1.50382661819,-8.18904781342,-6.10700702667,-21.3252754211,blues
-0.217896,0.369480669498,2.32170414925,-1.50211274624,4.91433954239,-0.0795144662261,-5.92416477203,9.38195323944,-6.58060407639,9.98907661438,3.68164205551,-2.53790783882,-9.52846240997,blues
0.185486,0.950260460377,-0.776863217354,-2.57950735092,-6.95501422882,3.65572762489,-2.3340139389,-0.556005179882,1.38112032413,7.18332862854,-4.77255296707,-2.70968413353,7.89222669601,blues
-0.257258,1.00440430641,1.62411403656,-1.04210710526,0.00554831558838,2.25893187523,-3.91216874123,-3.67346906662,-0.80534863472,1.3696706295,-3.75413155556,1.87161064148,7.10973119736,blues
-0.036894,0.840893805027,0.0418269149959,-0.13611830771,-11.7800922394,3.27376961708,-11.8839502335,-5.9819688797,-11.2349147797,6.0547504425,-11.2710361481,-9.16171169281,-5.18917226791,blues
-0.061872,0.570474386215,0.822292327881,2.41160178185,-6.20009231567,9.37555217743,-12.4513244629,2.66262698174,-0.894367754459,11.9029035568,-16.0779190063,15.8185853958,0.0657202973962,blues
-0.239715,1.8279517889,-2.90130329132,1.62484312057,11.3824987411,10.0554990768,-9.30505371094,2.91281437874,-4.79807043076,5.88373470306,-8.53582859039,7.89381456375,3.20902204514,blues
-0.131882,1.19753968716,-1.87149465084,2.32384514809,7.5386967659,13.6131772995,-10.2835645676,13.2107563019,-1.12504804134,15.6564655304,-2.79255127907,-3.78732728958,-4.54814720154,blues
0.071971,0.0815901309252,-0.0528809092939,0.0459342226386,4.51647233963,2.66888475418,-7.87447357178,-0.388767123222,-19.5835094452,-1.49694848061,3.40884113312,22.3193035126,-7.07943582535,blues
-0.241576,0.472362786531,1.42406535149,4.03564929962,-4.8103094101,-1.72840368748,-5.24639463425,6.62708950043,-8.21083545685,5.03213357925,-21.0191841125,-5.21703195572,-3.15955448151,blues
-0.161799,1.42453932762,0.468100458384,2.27345371246,-7.72970104218,2.63597178459,-14.7715559006,1.41066682339,-2.13671469688,-2.26018548012,-13.5702676773,2.04697346687,-15.3615655899,blues
-0.562506,0.555483281612,1.36435425282,2.40855312347,-0.269312530756,8.39487075806,-1.8398938179,2.98203539848,-3.96190142632,12.3658380508,-0.229934260249,15.1361150742,10.0538959503,blues
-0.198399,0.766538739204,-1.14145362377,6.23484325409,1.73902893066,2.83549618721,18.5239849091,11.504529953,-14.4372520447,-1.17940616608,8.87625980377,3.44396781921,-8.93626117706,blues
-0.238713,0.387982338667,2.10350346565,3.02130246162,8.87586021423,0.482098847628,16.371219635,14.0410070419,-15.2997713089,-1.46188378334,13.0543270111,2.34575009346,-18.3336791992,blues
-0.612375,0.243106782436,1.54654729366,3.38636374474,7.42735147476,8.12379646301,17.741771698,10.2779283524,-21.0918884277,-10.3171873093,4.36538696289,-9.1078042984,-18.4321899414,blues
